wavelength-um            Radiance-case1           Radiance-case2           Radiance-case3           
1.070270270270270219e+00 2.126764154943063545e+01 1.608238829598890050e+02 1.518127515952726526e+03
1.084084084084084187e+00 2.058100314083745630e+01 1.664301687601050048e+02 1.563197436977276539e+03
1.097897897897897934e+00 1.993992053584901925e+01 1.694584145610714359e+02 1.634970707474695928e+03
1.111711711711711681e+00 1.927035620435050944e+01 1.764945054540897900e+02 1.713063948728482501e+03
1.125525525525525650e+00 1.873649663428973966e+01 1.814286195478379398e+02 1.793587660569816535e+03
1.139339339339339396e+00 1.835420526488646331e+01 1.868755159326938440e+02 1.849726469333122168e+03
1.153153153153153143e+00 1.790741566023829989e+01 1.954556000194403111e+02 1.946788253721900901e+03
1.166966966966967112e+00 1.721022002936952688e+01 2.024846772938208801e+02 1.999191364254358632e+03
1.180780780780780859e+00 1.659160297587677135e+01 2.104577334669494348e+02 2.101549833325859254e+03
1.194594594594594605e+00 1.615360115499331783e+01 2.200391976206795164e+02 2.174352499719667776e+03
1.208408408408408352e+00 1.590890387945428053e+01 2.288564917051407974e+02 2.262634022292857935e+03
1.222222222222222321e+00 1.535161684000809323e+01 2.396773242484509581e+02 2.313115138088640379e+03
1.236036036036036068e+00 1.478147956325732082e+01 2.510614006261850761e+02 2.397462507691968312e+03
1.249849849849849814e+00 1.450043369790533632e+01 2.621100708821774106e+02 2.491951102619057565e+03
1.263663663663663561e+00 1.396087993846596298e+01 2.755795176213847526e+02 2.562367018482315871e+03
1.277477477477477530e+00 1.350616719188288073e+01 2.872778176770172536e+02 2.628837412152938668e+03
1.291291291291291277e+00 1.327659860056263064e+01 3.019486403270815345e+02 2.719074094933306242e+03
1.305105105105105023e+00 1.273955694595912114e+01 3.160994992676328934e+02 2.777969428748249811e+03
1.318918918918918992e+00 1.242015433649582867e+01 3.306117856309443255e+02 2.858635548951068358e+03
1.332732732732732739e+00 1.208478327646289863e+01 3.464025987512041524e+02 2.939648317733024214e+03
1.346546546546546486e+00 1.160195794770399225e+01 3.626875893113680718e+02 3.012437124502699589e+03
1.360360360360360454e+00 1.135065211101634830e+01 3.791344373847658744e+02 3.078041536702035046e+03
1.374174174174174201e+00 1.111763812814770347e+01 3.974269046535305847e+02 3.142862137386085578e+03
1.387987987987987948e+00 1.070123965763577800e+01 4.140394404911775155e+02 3.217204595272294682e+03
1.401801801801801917e+00 1.059760072866626146e+01 4.327944200722121764e+02 3.292206788758978291e+03
